GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Households receiving food stamps; Estimate; Households,Households receiving food stamps; Margin of Error; Households,Households not receiving food stamps; Estimate; Households,Households not receiving food stamps; Margin of Error; Households,Total; Estimate; Households - With one or more people 60 years and over,Total; Margin of Error; Households - With one or more people 60 years and over,Households receiving food stamps; Estimate; Households - With one or more people 60 years and over,Households receiving food stamps; Margin of Error; Households - With one or more people 60 years and over,Households not receiving food stamps; Estimate; Households - With one or more people 60 years and over,Households not receiving food stamps; Margin of Error; Households - With one or more people 60 years and over,Total; Estimate; Households - With children under 18 years,Total; Margin of Error; Households - With children under 18 years,Households receiving food stamps; Estimate; Households - With children under 18 years,Households receiving food stamps; Margin of Error; Households - With children under 18 years,Households not receiving food stamps; Estimate; Households - With children under 18 years,Households not receiving food stamps; Margin of Error; Households - With children under 18 years,Total; Estimate; Households - POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Margin of Error; Households - POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households receiving food stamps; Estimate; Households - POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households receiving food stamps; Margin of Error; Households - POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households not receiving food stamps; Estimate; Households - POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households not receiving food stamps; Margin of Error; Households - POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Estimate; Households - DISABILITY STATUS - With one or more people with a disability,Total; Margin of Error; Households - DISABILITY STATUS - With one or more people with a disability,Households receiving food stamps; Estimate; Households - DISABILITY STATUS - With one or more people with a disability,Households receiving food stamps; Margin of Error; Households - DISABILITY STATUS - With one or more people with a disability,Households not receiving food stamps; Estimate; Households - DISABILITY STATUS - With one or more people with a disability,Households not receiving food stamps; Margin of Error; Households - DISABILITY STATUS - With one or more people with a disability,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Hispanic or Latino origin (of any race),Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Hispanic or Latino origin (of any race),Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Hispanic or Latino origin (of any race),Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Hispanic or Latino origin (of any race),Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Hispanic or Latino origin (of any race),Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Hispanic or Latino origin (of any race),"Total; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - White alone, not Hispanic or Latino","Total; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - White alone, not Hispanic or Latino","Households receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - White alone, not Hispanic or Latino","Households receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - White alone, not Hispanic or Latino","Households not receiving food stamps; Estimate; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - White alone, not Hispanic or Latino","Households not receiving food stamps; Margin of Error; Households - RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - White alone, not Hispanic or Latino",Total; Estimate; Households - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2008 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Total; Margin of Error; Households - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2008 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households receiving food stamps; Estimate; Households - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2008 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households receiving food stamps; Margin of Error; Households - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2008 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households not receiving food stamps; Estimate; Households - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2008 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households not receiving food stamps; Margin of Error; Households - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2008 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Total; Estimate; WORK STATUS - Families,Total; Margin of Error; WORK STATUS - Families,Households receiving food stamps; Estimate; WORK STATUS - Families,Households receiving food stamps; Margin of Error; WORK STATUS - Families,Households not receiving food stamps; Estimate; WORK STATUS - Families,Households not receiving food stamps; Margin of Error; WORK STATUS - Families,Total; Estimate; WORK STATUS - Families - No workers in past 12 months,Total; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - No workers in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - No workers in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Total; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Total; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Total; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Total; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Total; Estimate; PERCENT IMPUTED - Food stamp recipiency,Total; Margin of Error; PERCENT IMPUTED - Food stamp recipiency,Households receiving food stamps; Estimate; PERCENT IMPUTED - Food stamp recipiency,Households receiving food stamps; Margin of Error; PERCENT IMPUTED - Food stamp recipiency,Households not receiving food stamps; Estimate; PERCENT IMPUTED - Food stamp recipiency,Households not receiving food stamps; Margin of Error; PERCENT IMPUTED - Food stamp recipiency
0100000US,,United States,112386298,100058,9139593,28146,103246705,109559,31.6,0.1,24.1,0.1,32.2,0.1,34.3,0.1,58.6,0.1,32.1,0.1,12.5,0.1,56.7,0.1,8.6,0.1,(X),(X),(X),(X),(X),(X),98.6,0.1,97.7,0.1,98.7,0.1,78.2,0.1,58.5,0.2,80.0,0.1,11.7,0.1,28.3,0.1,10.3,0.1,0.7,0.1,1.6,0.1,0.6,0.1,3.7,0.1,2.0,0.1,3.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2,0.1,7.2,0.1,3.9,0.1,1.4,0.1,2.3,0.1,1.3,0.1,10.9,0.1,17.9,0.1,10.3,0.1,71.9,0.1,48.8,0.2,74.0,0.1,52175,59,15926,56,55860,61,74870525,101406,6577468,23351,68293057,109530,12.9,0.1,22.5,0.2,12.0,0.1,31.6,0.1,49.6,0.2,29.8,0.1,55.5,0.1,28.0,0.2,58.2,0.1,1.7,(X),(X),(X),(X),(X)
0400000US01,01,Alabama,1811009,5492,182915,3953,1628094,6315,33.1,0.2,19.5,0.8,34.6,0.2,33.9,0.3,61.7,1.0,30.8,0.3,16.5,0.3,62.4,1.2,11.4,0.2,(X),(X),(X),(X),(X),(X),99.1,0.1,98.7,0.2,99.1,0.1,72.2,0.2,42.0,1.1,75.5,0.2,25.1,0.2,55.2,1.1,21.7,0.2,0.5,0.1,0.7,0.2,0.5,0.1,0.8,0.1,0.3,0.1,0.9,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.5,0.1,0.5,0.1,0.5,0.1,0.9,0.1,1.3,0.2,0.9,0.1,1.7,0.1,1.7,0.3,1.7,0.1,71.0,0.2,41.1,1.1,74.4,0.2,42131,275,13580,362,46370,321,1232769,6151,137007,3249,1095762,6317,15.9,0.2,25.8,1.0,14.7,0.3,34.0,0.4,50.4,1.3,31.9,0.3,50.1,0.4,23.7,1.2,53.4,0.4,2.4,(X),(X),(X),(X),(X)
0400000US02,02,Alaska,235500,1855,18577,955,216923,1737,22.1,0.4,14.1,1.9,22.8,0.5,38.2,0.6,63.9,2.9,36.0,0.7,8.2,0.6,38.7,3.8,5.5,0.5,(X),(X),(X),(X),(X),(X),95.2,0.3,91.2,2.1,95.5,0.4,75.0,0.6,44.8,3.2,77.6,0.6,3.3,0.3,4.1,1.6,3.3,0.3,11.3,0.4,36.1,2.5,9.2,0.4,3.6,0.2,4.1,1.4,3.6,0.3,0.5,0.1,1.1,0.8,0.4,0.1,1.5,0.2,0.9,0.7,1.5,0.2,4.8,0.3,8.8,2.1,4.5,0.4,4.5,0.3,7.1,1.8,4.3,0.3,72.8,0.6,40.5,3.5,75.6,0.6,66293,1129,24383,1614,70518,1297,159522,2149,13844,887,145678,2127,7.4,0.5,14.6,2.5,6.7,0.5,29.3,0.9,47.0,3.4,27.6,0.9,63.4,0.9,38.4,3.5,65.7,0.8,1.3,(X),(X),(X),(X),(X)
0400000US04,04,Arizona,2250241,6372,163764,3573,2086477,6171,32.9,0.2,21.6,0.9,33.8,0.2,33.8,0.3,65.8,1.1,31.3,0.3,12.1,0.2,52.7,1.3,9.0,0.2,(X),(X),(X),(X),(X),(X),98.6,0.1,97.5,0.3,98.6,0.1,82.9,0.2,66.4,1.1,84.2,0.2,3.2,0.1,5.5,0.6,3.1,0.1,3.3,0.1,10.7,0.7,2.7,0.1,2.2,0.1,1.3,0.3,2.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.9,0.2,13.6,1.0,6.4,0.2,1.4,0.1,2.5,0.3,1.4,0.1,21.1,0.2,40.8,1.3,19.5,0.2,69.5,0.2,41.1,1.2,71.7,0.2,51124,309,20898,650,53900,302,1483518,6557,127543,3321,1355975,6691,16.1,0.2,18.6,1.1,15.9,0.2,33.2,0.4,48.8,1.5,31.7,0.4,50.7,0.3,32.6,1.4,52.4,0.3,1.7,(X),(X),(X),(X),(X)
0400000US05,05,Arkansas,1106185,4447,134680,3226,971505,4491,33.7,0.2,20.7,0.9,35.5,0.3,34.0,0.3,60.1,1.2,30.4,0.3,17.4,0.3,61.7,1.4,11.2,0.3,(X),(X),(X),(X),(X),(X),98.8,0.1,98.0,0.4,98.9,0.1,80.8,0.2,59.3,1.4,83.8,0.3,15.1,0.2,35.7,1.2,12.2,0.3,0.6,0.1,0.9,0.2,0.5,0.1,0.8,0.1,0.3,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.0,0.1,1.4,0.1,1.7,0.4,1.4,0.1,1.2,0.1,2.0,0.4,1.1,0.1,3.4,0.1,3.3,0.4,3.4,0.1,79.0,0.2,57.9,1.4,81.9,0.3,39127,349,14361,385,43430,429,753559,5385,97971,2516,655588,5237,16.0,0.3,20.9,1.3,15.3,0.3,32.2,0.4,52.0,1.4,29.3,0.5,51.7,0.5,27.2,1.5,55.4,0.5,2.0,(X),(X),(X),(X),(X)
0400000US06,06,California,12177852,10381,557897,7396,11619955,11958,30.6,0.1,15.4,0.4,31.3,0.1,38.0,0.1,81.5,0.5,35.9,0.1,11.4,0.1,52.8,0.6,9.4,0.1,(X),(X),(X),(X),(X),(X),97.8,0.1,96.9,0.2,97.9,0.1,67.0,0.1,51.2,0.6,67.8,0.1,6.6,0.1,15.1,0.5,6.1,0.1,0.8,0.1,1.6,0.2,0.8,0.1,11.4,0.1,6.9,0.3,11.6,0.1,0.3,0.1,0.4,0.1,0.3,0.1,11.8,0.1,21.8,0.6,11.3,0.1,2.2,0.1,3.1,0.2,2.1,0.1,26.4,0.1,48.0,0.7,25.4,0.1,53.4,0.1,26.9,0.5,54.6,0.1,61154,173,21467,296,63537,163,8289681,13412,498402,6855,7791279,13664,11.5,0.1,22.3,0.6,10.8,0.1,32.9,0.1,48.0,0.8,31.9,0.1,55.7,0.2,29.7,0.6,57.4,0.2,1.3,(X),(X),(X),(X),(X)
0400000US08,08,Colorado,1866621,4334,93545,2812,1773076,5432,26.1,0.2,19.3,1.3,26.5,0.2,33.7,0.3,60.2,1.5,32.3,0.3,11.2,0.2,56.6,1.6,8.8,0.2,(X),(X),(X),(X),(X),(X),98.3,0.1,95.3,0.6,98.4,0.1,86.7,0.2,71.0,1.5,87.5,0.2,3.7,0.1,8.9,1.0,3.4,0.1,0.9,0.1,2.9,0.5,0.8,0.1,2.3,0.1,1.7,0.4,2.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.6,0.1,10.7,1.0,4.2,0.1,1.7,0.1,4.7,0.6,1.6,0.1,14.9,0.2,34.7,1.7,13.8,0.2,77.3,0.2,50.6,1.7,78.7,0.2,56574,345,16014,662,59369,367,1200433,5262,65968,2270,1134465,5727,10.1,0.2,16.7,1.7,9.7,0.2,30.0,0.4,50.9,2.0,28.8,0.4,59.9,0.4,32.4,2.1,61.5,0.3,1.2,(X),(X),(X),(X),(X)
0400000US09,09,Connecticut,1325680,2831,77947,2406,1247733,3728,33.3,0.2,27.7,1.5,33.6,0.2,34.1,0.3,48.0,1.3,33.3,0.3,8.7,0.2,57.7,1.7,5.6,0.2,(X),(X),(X),(X),(X),(X),N,N,N,N,N,N,83.0,0.2,53.7,1.6,84.8,0.2,8.6,0.1,24.1,1.2,7.6,0.2,0.2,0.1,0.6,0.2,0.2,0.1,2.9,0.1,1.3,0.3,3.0,0.1,N,N,N,N,N,N,4.1,0.2,17.1,1.3,3.3,0.2,1.2,0.1,3.1,0.6,1.1,0.1,9.3,0.1,34.5,1.5,7.7,0.1,78.2,0.2,39.4,1.3,80.6,0.2,68411,584,14273,610,72314,566,889222,4590,49143,1787,840079,4870,10.9,0.3,28.4,2.0,9.8,0.2,29.5,0.5,49.3,2.2,28.3,0.5,59.6,0.5,22.3,2.0,61.8,0.5,1.2,(X),(X),(X),(X),(X)
0400000US10,10,Delaware,325746,2037,22774,1098,302972,2123,33.6,0.5,22.5,2.5,34.5,0.5,33.3,0.6,61.6,2.9,31.2,0.6,9.8,0.5,48.7,3.0,6.9,0.4,(X),(X),(X),(X),(X),(X),N,N,N,N,N,N,75.7,0.4,47.4,2.7,77.9,0.4,19.0,0.4,46.0,2.5,17.0,0.4,0.3,0.1,0.5,0.5,0.3,0.1,2.5,0.1,0.8,0.4,2.6,0.1,N,N,N,N,N,N,1.4,0.2,3.2,1.2,1.3,0.2,1.0,0.1,2.0,1.0,0.9,0.1,4.4,0.2,9.3,2.1,4.0,0.2,73.1,0.4,42.5,3.2,75.4,0.4,57270,944,19926,1415,60725,884,220065,2471,17263,1075,202802,2519,13.3,0.5,16.4,2.7,13.0,0.5,31.9,0.9,56.6,3.7,29.8,0.9,54.8,0.9,27.0,3.2,57.1,0.9,1.3,(X),(X),(X),(X),(X)
