country,country_code,year,Prevalence of undernourishment (% of population),Crop production index (2004-2006 = 100),Agricultural land (% of land area),Food production index (2004-2006 = 100),Food exports (% of merchandise exports),Food imports (% of merchandise imports),Land area (sq. km),Population (Total),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",GDP (constant 2005 US$),GDP per capita (constant 2005 US$),Adjusted net national income (constant 2005 US$)
Arab World,ARB,1990,,60.42248719512388,35.02851697421116,59.19734642300954,2.5085808297213745,,13623991.0,221488293.0,,,,643711094805.0859,2906.298504928592,
Arab World,ARB,1991,8.020997010161151,64.61725681950983,35.11932736890387,61.66737728303955,2.9944879051638815,17.0276967781081,13623991.0,227470711.0,20.720339972596395,10.361367882087835,12.435999581044134,679732678998.1964,2988.220663706443,
Arab World,ARB,1992,8.292766222830478,66.42207650552892,35.273290663080054,63.30320521128927,3.685942153242237,16.469959800346334,13624011.0,231443007.0,20.50034650384591,10.684113289578313,12.676229955083825,708061332539.2083,3059.333447647473,
Arab World,ARB,1993,8.582133264416338,66.90372442415426,39.22765476334392,64.05356717073637,4.673843589515304,15.966471816526008,13624011.0,237418436.0,21.45008126822618,10.683472491238762,12.829532185669235,728542071831.1268,3068.5994066237,
Arab World,ARB,1994,8.88735374894487,68.44765539728733,39.37144501718326,66.43467236396336,,,13624011.0,243271554.0,21.226432818091503,10.795312651927256,12.911412158656884,753834121319.587,3098.73517443633,
Arab World,ARB,1995,9.138817045584736,67.81226887848692,39.472149574747114,67.29088090910156,3.6322827545154475,,13624011.0,250504422.0,21.491330652571467,11.087158706848426,13.229952275084566,774378704810.9114,3091.277585554603,
Arab World,ARB,1996,9.455172667325025,82.41860656439603,39.54143900793973,77.56352504179459,3.731475879657431,,13624011.0,255932514.0,21.254892158350398,10.969147249329824,13.073722093230145,809322640364.7374,3162.250187425336,
Arab World,ARB,1997,9.56757940314405,74.81977463004036,39.55487117560313,74.30435631151805,,,13624011.0,261260242.0,20.401767335410916,10.639737792958883,12.638923157769375,838392230617.5775,3209.0310573071333,
Arab World,ARB,1998,9.640639892149377,81.23172471677306,39.5907636891955,80.10243376793758,3.676879801511902,,13624011.0,266537558.0,19.933438752172062,10.565348334794095,12.532147264187191,867017646538.0033,3252.891086133547,
Arab World,ARB,1999,9.584447601818978,80.76787512478617,39.60225076154152,80.90986314684977,2.9520077250846155,17.062671224025145,13624011.0,271912978.0,19.32178517952802,10.646978054447874,12.49315314314932,878800762134.2386,3231.919155157937,
Arab World,ARB,2000,9.468631986874255,81.38805423176974,39.59569615732107,82.834182465443,1.9100402072318854,15.65656761978225,13624011.0,277561423.0,20.982841507340844,11.396700258073015,13.418655105930855,924443567147.7228,3330.590963095483,
Arab World,ARB,2001,9.31626410675692,82.7334434333322,39.630406933758344,83.3798604674203,1.9857972880580232,14.271323492062995,13624011.0,283493089.0,20.95740483440112,11.142005897035432,13.207509716572659,945767183142.992,3336.1207727465694,
Arab World,ARB,2002,9.211510197261806,88.60751563694261,39.71320193443766,89.1025469009214,2.5551620227634593,15.89933445842281,13624011.0,289680968.0,21.137221997863815,11.152530813029358,13.22257954680015,963530546619.0498,3326.178289417515,
Arab World,ARB,2003,9.249828952789615,94.28741844623228,39.88541842599192,94.36096911337302,2.451578519071738,15.539676645596018,13623831.0,296095945.0,21.133794245981957,11.74852504288185,13.72985141352095,1016265196186.8909,3432.215852151879,
Arab World,ARB,2004,9.361479674546391,96.3055424280998,39.99763355669456,96.23710084123807,2.473671261444218,15.213331983328718,13623821.0,302824676.0,20.03618071738376,11.199816890946172,13.068730167639895,1107929563855.1252,3658.650208066681,
Arab World,ARB,2005,9.46395844871399,98.45576576317382,40.097098973115564,99.01424733571089,2.2003885615110326,12.356905528903127,13623831.0,309824383.0,19.858200104480115,9.711207507348242,11.889214537040056,1176005290522.101,3795.7157507583934,738084333094.8295
Arab World,ARB,2006,9.574395249604644,105.23869180872622,40.116083577004545,104.74865182305125,2.213413363194034,,13623891.0,317125787.0,18.904262838233667,9.070148041374477,11.194918751176703,1261159956028.236,3976.84454474286,
Arab World,ARB,2007,9.719769125101491,99.2691936871466,40.16146318043329,102.25411803179138,1.9062926723635218,11.788265145953956,13623911.0,324693498.0,17.56914957100892,8.847068263536555,10.770831266558929,1333896335047.6975,4108.170761853991,
Arab World,ARB,2008,9.768352809574878,101.45083333755095,40.10119406887342,105.27700598797124,1.758861049486742,11.57504719485339,13623921.0,332424892.0,17.597192036641147,8.380164660713008,10.401024855590371,1418955091140.7156,4268.498314322128,
Arab World,ARB,2009,9.818182109470285,109.19945784561794,40.03162080639076,110.09785328907336,2.749206244672866,,13621411.0,340149038.0,18.16190866368643,7.987530815058424,10.22779715750879,1441206329303.2275,4236.984875151191,
Arab World,ARB,2010,9.818263420684774,105.1689591517883,40.07914163895476,109.0150223391196,3.211273457878364,,13621401.0,347737036.0,18.296255660246025,7.990462790783745,10.254666782825577,1518817580434.4707,4367.718773661114,
Arab World,ARB,2011,9.712985412403146,110.9053858987558,38.054885837367245,114.97450887064448,,,13621401.0,355137048.0,19.422016759353074,8.313482231835497,10.758005008102485,1605183131295.6084,4519.897713672521,
Arab World,ARB,2012,9.722600709254198,112.00577158551607,,116.70814908865724,,,13621401.0,362466629.0,19.51843721538397,8.355532240810778,10.818327903592783,1675054936736.3687,4621.266629034611,
Arab World,ARB,2013,,,,,,,,,,,,,,
Caribbean small states,CSS,1990,,92.3399176130318,6.456712362603433,84.89471624106243,10.539855551899379,17.75542921442557,404850.0,5962579.0,,,,28534789735.569332,4785.645563030584,
Caribbean small states,CSS,1991,12.640342797310405,96.00944061136047,6.4814128689638135,86.99541396158664,10.030353236880636,15.438961195809883,404850.0,6003431.0,22.21682113246989,12.982103135468444,16.891163735870677,28589715085.06265,4762.229312715121,
Caribbean small states,CSS,1992,12.511137156653602,104.45363353269862,6.496233172780042,94.14750442804663,11.57573517620578,16.12087340271357,404850.0,6047100.0,22.032618551116766,11.907932557382539,16.196108215212305,28188089061.590473,4661.422675594991,
Caribbean small states,CSS,1993,12.39969582693861,107.97713863666411,6.580214894405335,95.67196597907308,12.963947110028542,16.17596575626293,404850.0,6092913.0,22.519100167280975,13.131041345304096,17.081951704402403,28166644804.83791,4622.853601362421,
Caribbean small states,CSS,1994,12.094491754064823,109.0413891820139,6.567864641225145,95.65455280413201,13.17515971944478,17.56232014732427,404850.0,6139813.0,22.20576961358646,12.965521092326602,16.875286919373185,29129854097.57913,4744.420407849413,
Caribbean small states,CSS,1995,11.864233828755888,116.44924979580604,6.555514388044955,101.65910104986924,16.10149536038339,16.76551004893968,404850.0,6187109.0,22.137504078654146,14.090734104390325,17.46067417713987,30036523587.101704,4854.694427898668,
Caribbean small states,CSS,1996,11.491771093573064,120.68008815021452,6.538224033592688,106.00594862226767,14.35849380120653,15.5733228862008,404850.0,6243442.0,22.15573190364816,12.616989875205379,16.6118860561311,31160864343.327282,4990.975225416891,
Caribbean small states,CSS,1997,11.164757788348112,115.81641561711344,6.51105347659627,102.74539632803605,18.62152971648806,15.246116067636907,404850.0,6293504.0,21.72093049854835,11.872824226257986,15.963637173122985,32272713809.807217,5127.940462071243,
Caribbean small states,CSS,1998,11.126746218898663,106.22876909024228,6.48635297023589,96.51544436214036,18.730015309294966,15.754092530079593,404850.0,6342332.0,20.336929182310918,11.56939744504444,15.193352844604153,34013221920.132843,5362.888905868195,
Caribbean small states,CSS,1999,10.800253478598437,110.39534345836026,6.496233172780042,102.06027639416983,15.705841887430855,15.968575051048154,404850.0,6387127.0,20.659555114423593,11.22563492210375,15.118493249605411,35583601869.14729,5571.143625161562,
