country,country_code,year,Prevalence of undernourishment (% of population),Crop production index (2004-2006 = 100),Agricultural land (% of land area),Food production index (2004-2006 = 100),Food exports (% of merchandise exports),Food imports (% of merchandise imports),Land area (sq. km),Population (Total),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",GDP (constant 2005 US$),GDP per capita (constant 2005 US$),Adjusted net national income (constant 2005 US$)
World,WLD,1990,,68.24630438169473,39.40832737594,67.12846678077082,10.244300499949938,9.024085303825027,129793784.4,5278929236.0,,,,30506961546480.918,5779.0055866702505,25766747934030.3
World,WLD,1991,22.881777038968444,69.03604463108103,39.47446079982286,68.1529315426576,10.180479195543409,9.046617585567041,129793894.4,5365479318.0,6.69325614149451,6.072131058533427,6.329345667634419,30922945854319.152,5763.314705282618,26085642140005.824
World,WLD,1992,22.766263268437797,72.68642097449529,37.54278950053722,72.66261351747528,10.307107366140318,9.07210525425704,129793967.4,5448357753.0,6.111946348576452,5.686796009417389,5.856662320779377,31499416820312.754,5781.451631543175,26684565526015.11
World,WLD,1993,22.112211519881004,72.99235611092091,37.79155165647864,73.32623934475632,10.036456197369514,8.774248435137862,129689257.4,5531984362.0,6.367983587305668,5.889430363530133,6.082237815819481,32005491939492.977,5785.5355050067255,26998710460870.37
World,WLD,1994,21.854315270563475,74.88709243809107,37.91564332418915,75.33729637968744,9.90222644324139,8.892238373676463,129677484.4,5614493895.0,6.322956686219765,5.783539425002669,5.99197986504264,33016306053638.465,5880.548927667587,27942296910643.26
World,WLD,1995,20.481836906689082,76.03836345126373,37.88036615231929,77.12064105482315,9.56320852035001,8.731278049521165,129676344.4,5698120388.0,6.415928825977605,5.835300096921081,6.066617887064017,33986444491835.74,5964.500954281301,28722342659635.816
World,WLD,1996,19.398571357707755,80.7691861661537,37.88024375745545,80.539834516538,9.326991820412204,8.82027643729461,129675894.4,5779720159.0,6.5249733475955045,5.9019968556433025,6.163636580584482,35109201179958.08,6074.550361281268,29721844532511.21
World,WLD,1997,18.953717065922476,82.10995301490395,37.92746601101842,81.99148687124834,8.923876356298779,8.37194712806781,129745234.4,5861505672.0,6.679934030398892,5.981145406645491,6.255648025267107,36421921483577.44,6213.7483987369305,31030466475132.137
World,WLD,1998,18.342103863618036,82.94100976693149,37.99006916363766,83.66607870677771,8.496971860899748,8.43621401490863,129719239.4,5942449870.0,6.7727688657754515,5.994527363650575,6.310939219514429,37317636197908.2,6279.840303963423,32036245804519.49
World,WLD,1999,18.063348132893765,85.95879447842475,37.91782899245272,86.71547498034498,7.979461623146553,8.066459672191662,129726012.4,6022351274.0,6.7713333684613914,6.095779316194244,6.376553329895465,38570740437907.82,6404.59825125568,32969886061177.2
World,WLD,2000,17.99773096104711,87.91227952330946,37.98199381822982,88.51736341412158,6.919287899919792,7.0530608363183305,129739932.4,6102101487.0,6.65809115989116,6.10834586264315,6.329065810933142,40222013579824.984,6591.50190561637,34005579976130.867
World,WLD,2001,18.09763984849208,89.46756787828858,37.99267010125003,89.59579858966927,7.240811394276265,7.3828738178295366,129736537.4,6180186249.0,6.6951443995646835,6.074450930733828,6.3114252563133135,40919233146560.125,6621.035596327079,34635977647180.492
World,WLD,2002,17.721187971668407,89.76512668675257,37.91312837704789,91.03005575906245,7.426938054547926,7.526989107671042,129736287.4,6257990301.0,6.803644102913536,6.227948474421076,6.452926913635205,41763077940697.78,6673.560669153518,35336484022179.36
World,WLD,2003,17.41982730340383,92.89907991409365,37.788013049317875,93.94226067288105,7.413460397539425,7.498777604787788,129735883.4,6335500978.0,6.778738038863326,6.203328544529642,6.431193315341167,42935011401733.04,6776.892869376026,36252110841229.74
World,WLD,2004,17.007338720098065,98.33921438531672,37.936518392210466,97.56417562045932,7.078150477441054,7.017412306835898,129732423.4,6413227376.0,6.630866435886815,6.007968436608853,6.258045224036258,44730594643478.02,6974.740176977319,37750569435655.6
World,WLD,2005,16.741646942813144,99.95265348431562,37.885399910933614,99.98029469821446,6.791114639627117,6.6712598629817,129734391.4,6491048430.0,6.572569647850678,5.810833547515721,6.112760158152485,46347909657517.33,7140.280981930268,38945675091655.53
World,WLD,2006,16.10935698689361,101.70379782538369,37.8587531302536,102.45028004846105,6.566946702641637,6.322170930377317,129728254.0,6568998311.0,6.281057495378569,5.54588253420426,5.845769095225974,48250723505797.195,7345.217827960132,40696990184873.72
World,WLD,2007,15.582175917080091,105.17772498781049,37.75424775499912,106.06518706373748,6.847125831723551,6.6248526604558124,129728067.60000001,6646900362.0,5.798767185221654,5.238756957164591,5.484210210748561,50172657106278.79,7548.278802720345,42112435086300.086
World,WLD,2008,15.229295659183222,110.20003471855387,37.799749709710085,110.25330249165489,7.241535971086683,6.9089729737834755,129713225.60000001,6725955990.0,5.9818300501594335,5.471930652532083,5.68927539124197,50898260863319.24,7567.4388799144135,41859483899864.54
World,WLD,2009,14.903903789187071,110.58023329833671,37.72299479305896,111.70525599690133,8.389508027848425,8.054028058737014,129711573.9,6805229923.0,6.443867460950227,6.074730794464496,6.214140048696248,49826242591443.125,7321.757406468032,41242937605702.234
World,WLD,2010,14.55481629060836,113.28177074134936,37.697438455387974,114.17470660863697,8.078584426686918,7.530075354426872,129710379.10000001,6885215691.0,6.473731619841372,5.8144005917890915,6.065783777285374,51847066678721.63,7530.202248637389,42945660781228.93
World,WLD,2011,14.09561213624072,118.71062683056813,37.61028210550514,117.55253605362527,8.265826938307075,7.692683106070983,129710427.30000001,6966439712.0,6.390123207334102,5.625092712342206,5.912116581128026,53339964900810.23,7656.703726141458,44198014040001.31
World,WLD,2012,13.777932500824239,118.20087654624962,,118.0031663642029,8.564382363262887,7.640829477924094,129710427.30000001,7043902890.0,6.387784654384501,5.628634659479138,5.942570285485161,54603475045458.12,7751.877886189614,45425598264521.33
World,WLD,2013,,,,,,,,,,,,,,
